added_by,artist,award,banner,description,downloads,host,listens,official,rating_count,rating_score,release_date,title,tracks,views
domkennedy,Dom Kennedy X Hit-Boy,Bronze,sponsored,"Dom Kennedy x Hit-Boy are back with part 2 of their ""Half-a-Mil"" EP's.  Download or Stream now!",30072,,137012,1,403,88,02/24/2017,Half-A-Mil 2 EP,6,284192
IAmMixtapes,Chamillionaire,Bronze,sponsored,"Slowing things down, Chamillionaire takes on some of today’s R&B tunes.",30274,Chamillionaire & Koopa,62038,1,209,95,07/17/2011,Badazz Slow Mixes,15,171414
Saint 22,Young Jeezy,Bronze,,"DJ Saint 22 Returns To The Mixtape Game To Present Young Jeezy's First Official Dial 911 Edition Mixtape.
www.myspace.com/DJSaint22moe
A.C Balboa's Pyromanic Mixtape Coming Soon",30276,DJ Saint 22,82950,0,182,90,02/21/2009,Quarantine ,20,207635
The_Connect,Young Dro & Yung L.A. ,Bronze,sponsored,,30289,DJ Infamous,82045,1,196,96,01/10/2009,"Black Boy, White Boy ",30,213557
IAmMixtapes,Rich Boy,Bronze,exclusive,"New mixtape from Rich Boy ""Gold Kilos"" Follow on twitter @_RichBoy",30307,,64396,1,202,83,05/12/2011,Gold Kilo$,12,209537
KPReilly02,D-Pryde,Bronze,exclusive,"New mixtape from D-Pryde ""Plan A"" Presented by MARS Management.",30309,MARS,62978,1,149,95,03/02/2015,Plan A,16,200754
coast2coastmixtapes,Sonny Soprano ,Bronze,sponsored,"Sonny Soprano - Let The Money Talk // For More Info Visit: 
https://twitter.com/SonnyRSoprano",30321,Big Mike,28634,0,76,84,10/29/2012,Let The Money Talk,15,123955
flybeats09,Ghostface Killah & DJ Premier,Bronze,sponsored,Free EP from Ghostface Killah & DJ Premier hosted by Hevehitta & DJ Unexpected,30335,Hevehitta & DJ Unexpected,41556,1,165,93,02/28/2012,Duel Of The Iron Fists EP,7,177376
KPReilly02,Maxo Kream,Bronze,sponsored,"New mixtape from MAXO 187 ""Maxo Kream"" Hosted by DJ Mr. Rogers, DJ Lil Keem",30357,DJ Mr. Rogers & DJ Lil Keem,87843,0,278,94,03/05/2015,Maxo 187,15,192687
WeAreCHAMPS,Lupe Fiasco,Bronze,,a preview mixtape of Lupe's new album,30359,Lupe Fiasco and Pharrell Williams,53387,0,173,98,01/01/2011,Pre-Lasers,17,196072
Da_ChiiNk,Pleasure P,Bronze,sponsored,"New mixtape from Pleasure P ""Break Up To Make Up"" hosted by the mixtape legend DJ Clue. Follow him @Marcus_Cooper",30401,DJ Clue,29839,1,67,88,02/14/2014,Break Up To Make Up,15,115875
traethatruth,Trae Tha Truth,Bronze,,"New project from Trae Tha Truth ""Exhale"" available now!",30405,,60425,1,362,89,08/23/2019,Exhale,12,102366
Yayvo,Yung King,Bronze,sponsored,"""Lucky Numbers"" is Yung King's second released mixtape! This contains a versatile mixture of songs. Beats by Yung King.",30411,Yung King,6572,0,9,89,07/12/2011,Lucky Numbers,23,22989
abstractcarter,Deon,Bronze,sponsored,"second mixtape from Maryland native Deon. released to  high expectation and minuscule  anticipation...   - none but ourselves can free our minds  
deonjcarter@yahoo.com",30413,N/A,28767,0,24,100,02/20/2014,carbon,14,63024
djtayjames,J.COLE,Bronze,,"AN OFFICIAL GRADE A MIXTAPE HOSTED BY ROC NATION ARTIST... J.COLE-MIXED BY DJ TAY JAMES AND JTINSLEY

DOWNLOAD AND ENJOY",30422,DJ TAY JAMES & J.TINSLEY,81990,0,186,92,11/28/2009,American Dreamin:a History Lesson On J.cole,20,288661
thakidjso,Young Fam,Bronze,sponsored,"This mixtape is the sound of the road to success, from the bottom having 
nothing, to having a dream, grinding for it, getting it and taking it to the 
top. The music makes you reflect on (if you succeeded already) or want (if u haven't 
made it) these things. Which goes right with the title 'Into the fly' because we 
were all born to fly and rise to our full potential.",30432,,6176,0,16,100,10/22/2012,Into The Fly ( Familur Max & J-SO ),16,37038
Prodigy,Prodigy,Bronze,exclusive,"Part 1-3 of Prodigy's ""R.I.P."" series presented by Heavy Hitters, DJ Chubby Chubb & Ski Beatz!",30445,"Heavy Hitters, DJ Chubby Chubb & Ski Beatz",111330,1,462,85,04/05/2016,R.I.P. (1-3),45,252476
DjMXtra,PNB Rock,Bronze,sponsored,Philly Own (@PnBRock) Brings To You His 1st Highly Anticipated Mixtape Called RNB (Real N*gga Bangaz)Follow On Twitter/Instagram @PnBRock,30459,Dj M-Xtra,92118,1,121,94,06/25/2014,Real N*gga Bangaz ,21,233091
jiant1,NYJ,Bronze,,"THE NEW YORK TIMES 1&2 COM'IN SOON,FOR MISSING TRACKS GO TO MY MYSPACE AND LISTEN TO THEM OR ASK ME FOR IT,
AND I WILL SEND IT TO YOU FREE,www.myspace.com/thajiant
AND BIG SHOUT OUT TO ALL THE SUPPORTERS
FROM MYSPACE,TWITTER,FACEBOOK AND EVERYWHERE ELSE,AND SUPER SHOUTS TO DJ DAMN",30482,DJ DAMN,123367,0,34,79,08/03/2009,Raw4sale,22,0
IAmMixtapes,Busta Rhymes,Bronze,,The Highly Anticipated Mixtape 'I Bullshit You Not' ALBUM DROPPING MAY 19TH,30493,,68193,1,188,92,05/04/2009,I Bullshit You Not,12,227857
flybeats09,Young Thug,Bronze,exclusive,Compilation of must have tracks from buzzin artist Young Thug. Follow @YoungThug @DJReddyRell,30525,DJ Reddy Rell,33456,0,41,90,02/12/2014,No Fucks,28,149480
2starzmuzik,2starzMuzik,Bronze,sponsored,"@richmuzik & @B__eazy which make up 2starzmuzik. We put together a instrumental mixtape to showcase some of our work. Also to give talented music artist all around the world an opportunity to work with us.

Contact us at 2starzmuzik@Gmail.com 

(PROMOTIONAL USE ONLY!! All Beats Are Free To Use)

FOR THE BEST ALBUM/RADIO QUALITY YOU CAN GET THE BEATS HERE",30566,2STARZMUZIK,9332,0,21,100,12/25/2011,Star Alignment Instrumental Mixtape,14,81810
newyitty,New Yitty,Bronze,sponsored,"Debut Street Album From Upcoming Brooklyn, N.Y. MC New Yitty.  The Album Is Entirely Produced By Canadian Super-Producers, IllaTracks.  Features Include Sean Price, Uncle Murda, Boogz Boogetz, Bravo (Street Fam), Hanz (NYB), G. Martin, Young Nik, B.P. (Bout Paper), Tiz, Sherley Gene & O.D.
Twitter: @iAmNewYitty & @IllaTracks",30578,,1433,0,28,89,05/30/2011,N.Y.S.O.M. (New Yitty State Of Mind),19,61080
flybeats09,B.o.B. & London Jae,Bronze,exclusive,"New collaborative mixtape from No Genre's B.o.B. & London Jae ""NASA"" Produced by Zaytoven.",30580,"DJ Scream, T.I., Bigga Rankin & DJ Tokars",97126,1,300,86,11/23/2015,NASA,10,267431
MONTANAof300,Montana Of 300,Bronze,sponsored,"Check out these 4 new records from Montana of 300. ""Black Sunday"" available now!",30604,,103224,1,687,91,09/18/2017,Black Sunday,4,211091
Biggy Jiggy Mixtapes,Various Artists,Bronze,sponsored,Follow @BiggyJiggy! New Exclusive Tunes 3D mixtape every 4 days!,30630,Biggy Jiggy Mixtapes,44407,0,59,88,03/23/2012,Exclusive Tunes 3D 2,30,159466
bigkrit,Big K.R.I.T.,Bronze,sponsored,,30646,,124373,1,761,93,01/11/2019,TDT,8,236533
IAmMixtapes,Shawnna,Bronze,exclusive,"New mixtape from Shawnna ""She's Alive"" Hosted by DJ Pharris",30661,DJ Pharris,17958,1,106,93,07/17/2012,She's Alive,21,188524
souljaboytellem,Soulja Boy,Bronze,sponsored,"""Cortez"" is here! ""Datpiff"" & ""Paranormal Activity"" set to drop on Halloween exclusively here on datpiff.com!!! follow Soulja Boy @ http://twitter.com/SOULJABOYTELLEM",30662,"Whoo Kid, Scream",60306,1,144,77,10/28/2009,Cortez,17,167692
Certified5150,"Pacific Division, Pac Div",Bronze,,"Pac Div Church League Champions,Certified 5150 Music (Official No Tags, West Coast Back Pack, New Artist overlooked flow tight must listen to respect.",30695,Certified 5150 Music (Official No Tags),36698,0,138,96,09/15/2009,Pac Div Church League Champions,13,157534
IAmMixtapes,Ruff Ryders,Bronze,exclusive,"New compilation from the modern day Ruff Ryders including Mook, DMX, Drag-On, The Lox & more!",30702,DJ Khaled,57122,1,167,83,02/22/2012,"Past, Present, Future",20,347011
chancebreezy,KiD CuDi,Bronze,,"Just a warm-up before the album drops. Sept. 15 Go Cop It!!! Due to copyrights, I couldnt upload some of the songs. But it's Fire anywayz",30722,chance breezy,71245,0,192,94,09/10/2009,Dream On ,16,253719
Djbigmane,Various Artists,Bronze,sponsored,"D.J. Bigmane Presents: Take Over The Streets Vol.2 Hosted By Boomman And Breezie F' Baby 
Follow Us On Twitter @djbigmane @BREEZEBABYPROMO @BOOMMAN_MMI Also Help Put Together By @djbski
Be Sure To Check Out GotHaze.com",30766,"D.J. Bigmane,Boomman,Breezie F' Baby",2935,0,9,78,08/06/2012,Take Over The Streets Vol.2,22,41520
Share,Gucci Mane,Bronze,,,30735,"Dutty Laundry, Zaytoven",205375,0,164,96,06/20/2007,Ice Attack 2 - Trapaholics,23,0
JSTARKILLA11,JSTAR KILLA,Bronze,,"With his final installment of the BFG Series, with mostly in house production this is by far his best project. Gorilla Park Music and Rosta Records Presents ""Bound 4 Glory 2"" A JSTAR KILLA Joint.",30774,DJ DECEMBER,137895,0,225,87,11/21/2015,Bound 4 Glory II,14,322009
PiffMan2008 ,Wiz Khalifa ,Bronze,,"Wiz Khalifa Burn After Rolling DJ Ill Will , DJ Rockstar shit on here and sum other shit on here no mix jus like a best of type shit from old two new PLEASE ENJOY!!!!!!!!!!

http://www.facebook.com/pages/Piffmann/145088245501316",30783,piffmann,84637,0,223,94,11/02/2010,___The Highlights Of Wiz Khalifa ___,27,263315
Omizzle,Neef Buck,Bronze,exclusive,"The 6th installment to the ""Forever Do Me"" series from Neef Buck",30956,,49195,1,58,95,11/19/2013,Forever Do Me 6: Trash Bag King,14,197153
VILLY101,VILLY VENDETTA,Bronze,sponsored,"New mixtape from Washington D.C. Rapper VILLY VENDETTA DROP HIS NEW MIXTAPE VILLE CITY THE EP. FEATING RICK ROSS, JAY Z, LIL TAE, CHAMP, AND MORE. twitter:@ville_101 IG:VILLY_101",30968,DJ NO,16327,0,3,100,08/25/2013,Ville City The Ep,12,48644
Share,"Juelz Santana, Lil Wayne",Bronze,,,30977,Trap-A-Holics,225195,0,123,94,04/10/2008,I Cant Feel My Face (The Prequel),27,434388
djwhiteowl695,Various Artists,Bronze,sponsored,"WhiteOwl Drop That pt 208 (New Exclusives from Lil Wayne, Jadakiss, Eminem,Team WhiteOwl & More. www.whiteowldropthat.com
www.facebook.com/djwhiteowl
www.twitter.com @djwhiteowl",30991,DJ WhiteOwl,47680,0,24,71,09/20/2012,Whiteowl Drop That Pt 208,29,137303
djwhiteowl695,Various Artists,Bronze,exclusive,"Full Download available @ www.whiteowldropthat.com
Wholesale & Retail available also",30996,DJ WhiteOwl,46172,0,45,80,12/25/2012,Whiteowl Drop That Pt 213,23,157661
DJSNEAKYDOG,DC FLYZ @IAMFLYZ,Bronze,sponsored,"DJ SNEAKYDOG

PRESENTS

DC FLYZ #DOUBLEUP

1.	GEEKIN
2.	DOUBLE UP Feat CYRIZ DA VIRUZ
3.	BANG Feat LADY J, MAJOR PAYNE
4.	UNBROKEN SILENCE Feat MUSIQUE
5.	2-5 NFL Feat BG TOPP
6.	HUSTLE Feat CYRIZ DA VIRUZ , MURDA LOC
7.	MARRIED TO MONEY Feat CYRIZ DA VIRUZ
8.	NO TRUST Feat TRE SAVAGE
9.	BALL (JOHN WALL)
10.	WORLD DOMINATION Feat CYRIZ DA VIRUZ
11.	DEDICATION Feat TWIGGIE
12.	RIDE Feat MURDALOC
13.	RIDE WITH ME Feat VELLY & T.O.C
14.	TRAPPIN Feat TOKYO CROW
15.	STILL POPPIN Feat CYRIZ DA VIRUZ, MARYLAND MENACE
16.	READY Feat MURDALOC & T.O.C
17.	PRAY FOR ME Feat CYRIZ DA VIRUZ
18.	DJ SNEAKYDOG DOUBLE UP OUTRO

DC FLYZ @IAMFLYZ EMAIL: FLYZMUZIK@GMAIL.COM  BOOKINGS : MrSneakydog@GTHCMusic.com 240-593-3012

WWW.SNEAKYDOGINC.COM @DJSNEAKYDOG SNEAKYDOG@SNEAKYDOGINC.COM",31013,DJ SNEAKYDOG,13650,0,6,100,08/24/2013,DC Flyz Double Up,18,85848
ImMR12125858,Trey Songz,Bronze,,Unofficial Trey Songz compilation,31038,,54750,0,133,94,08/26/2011,Trigga Lifestyle,20,173485
teezymtm,"MORE THAN MUSIC PRODUCTIONS INSTRUMENTALS VOL.1, INSTRUMENTALS, BEATS, Beat, TEEZY, T SMITH, ROB BEATZ, TZ, ROB BEATZ, T SMITH, Instrumental,Free Beat, Md, Maryland, Charm City, Dmv, Dc, Free Instrumental, Free, Baltimore, Bmore, TEEZY,BOBBY SMITH, DIAMON",Bronze,sponsored,"TO BUY BEATS OR FOR MORE INFO CALL 443 414 8584 OR GO TO WWW.MTMPRODUCTIONSONLINE.COM MORE THAN MUSIC PRODUCTIONS INSTRUMENTALS VOL.1, INSTRUMENTALS, BEATS, Beat, TEEZY, T SMITH, ROB BEATZ, TZ, ROB BEATZ, T SMITH, Instrumental,Free Beat, Md, Maryland, Charm City, Dmv, Dc, Free Instrumental, Free, Baltimore, Bmore, TEEZY,BOBBY SMITH, DIAMOND CUT,PRODUCED BY TEEZY, BAKER BOYZ, BEATS, INSTRUMENTALS, INSTRUMENTAL,CRACK,TRACKS,BALTIMORE,BMORE ,INSTRUMENTALS, BEATS, Beat, Instrumental,Free Beat, Md, Maryland, Charm City, Dmv, Dc, Free Instrumental, Free, Baltimore, Bmore, TEEZY,BOBBY SMITH, DIAMOND CUT,PRODUCED BY TEEZY, BAKER BOYZ, BEATS, INSTRUMENTALS, INSTRUMENTAL,CRACK,TRACKS,BALTIMORE,BMORE MORE THAN MUSIC PRODUCTIONS INSTRUMENTALS VOL.1, INSTRUMENTALS, BEATS, Beat, TEEZY, T SMITH, ROB BEATZ, TZ, ROB BEATZ, T SMITH, Instrumental,Free Beat, Md, Maryland, Charm City, Dmv, Dc, Free Instrumental, Free, Baltimore, Bmore, TEEZY,BOBBY SMITH, DIAMOND CUT,PRODUCED BY TEEZY, BAKER BOYZ, BEATS, INSTRUMENTALS, INSTRUMENTAL,CRACK,TRACKS,BALTIMORE,BMORE ,INSTRUMENTALS, BEATS, Beat, Instrumental,Free Beat, Md, Maryland, Charm City, Dmv, Dc, Free Instrumental, Free, Baltimore, Bmore, TEEZY,BOBBY SMITH, DIAMOND CUT,PRODUCED BY TEEZY, BAKER BOYZ, BEATS, INSTRUMENTALS, INSTRUMENTAL,CRACK,TRACKS,BALTIMORE,BMORE MORE THAN MUSIC PRODUCTIONS INSTRUMENTALS VOL.1, INSTRUMENTALS, BEATS, Beat, TEEZY, T SMITH, ROB BEATZ, TZ, ROB BEATZ, T SMITH, Instrumental,Free Beat, Md, Maryland, Charm City, Dmv, Dc, Free Instrumental, Free, Baltimore, Bmore, TEEZY,BOBBY SMITH, DIAMOND CUT,PRODUCED BY TEEZY, BAKER BOYZ, BEATS, INSTRUMENTALS, INSTRUMENTAL,CRACK,TRACKS,BALTIMORE,BMORE ,INSTRUMENTALS, BEATS, Beat, Instrumental,Free Beat, Md, Maryland, Charm City, Dmv, Dc, Free Instrumental, Free, Baltimore, Bmore, TEEZY,BOBBY SMITH, DIAMOND CUT,PRODUCED BY TEEZY, BAKER BOYZ, BEATS, INSTRUMENTALS, INSTRUMENTAL,CRACK,TRACKS,BALTIMORE,BMORE",31066,"INSTRUMENTALS, BEATS, Beat, Instrumental,Free Beat, Md, Maryland, Charm City, Dmv, Dc, Free Instrume",118629,0,65,75,04/02/2011,"More Than Music Productions Instrumentals Vol.1, Instrumentals, Beats, Beat, Teezy, T Smith, Rob Bea",12,263907
karlkani,Polo G,Bronze,,"New project from Polo G ""Die A Legend"" available now on DatPiff!",31089,,302126,1,1119,88,06/07/2019,Die A Legend,14,372729
RKCMoneyGang,Joe Cool ,Bronze,sponsored,Joe Cool & his latest project Cooley Hi. Follow Joe on Twitter @JoeFnCool. Presented by Philly Nicks @PhillyNicks,31099,Philly Nicks,12753,0,73,97,01/19/2012,Cooley Hi,15,115055
DJ UNCUT,Young Dolph,Bronze,sponsored,,31100,DJ UNCUT & THE HUSTLEMANIACS,88040,1,267,87,11/03/2014,Time 2 Takeover: Dolph Season,21,219568
Hipstrumentals,Hipstrumentals,Bronze,exclusive,"Hipstrumentals.com presents the compilation instrumental mixtape ""#Summertide"". 36 exclusive beats from various talented producers. Please rate, download & follow @Hipstrumentals on twitter. Enjoy!!",31117,Hipstrumentals.com,64030,0,93,99,07/22/2013,#summertide (instrumentals),36,169352
flybeats09,Killa Kyleon,Bronze,sponsored,New mixtape from Killa Kyleon hosted by DJ Rapid Ric,31127,DJ Rapid Ric,40859,1,164,93,01/31/2011,Candy Paint -N- Texas Plates,19,133468
wizkhalifa,Wiz Khalifa,Bronze,exclusive,Compilation Part 1 of Wiz Khalifa's latest freestyle releases.,31127,Taylor Gang,224772,0,743,90,09/08/2019,Freestyles Vol. 1,27,321044
IAmMixtapes,Hal Linton,Bronze,exclusive,"Following the success of Hal Linton’s previous mixtape ‘The Rock & Roll Experiment,’ the Barbadian R&B crooner is back once again with his new release ‘Technicolour.’

The highly anticipated release features 14 tracks with guest appearances by fellow Barbadian songstress Shontelle, Jon Connor and Phonix. It also boasts production from MPiii, HitRoom, Art & Life Productions and of course, Hal Linton himself.

Linton explores his musical abilities on ‘Technicolour’ as he handled most of the writing and production himself, proving that he’s very well rounded as an artist. With something for everyone on the record, he carefully incorporated his personal experiences and threaded in messages for his fans in each and every song.",31143,,15975,1,61,93,09/12/2012,Technicolour,14,68878
DJCarisma,King & Blast (TIU Muzic),Bronze,exclusive,#YoungCalifornia,31152,DJ Carisma,21575,0,7,86,07/02/2013,Turnt Up 2 Society,18,73151
jewbag527,J. Cole,Bronze,sponsored,"A Power Hour consisting of J. Cole songs from mixtapes and albums ranging from ""The Come Up"" to ""2014 Forest Hills Drive"" in chronological order. (A Power Hour is 60 of my favorite verses all put together to make an hour. Drinking every time the song changes is just a mini game built into a dope playlist.) I do not own this music. This is for entertainment purposes only. Minutes created from ""The Come Up"", ""The Warm Up"", ""Friday Night Lights"", ""Cole World: The Sideline Story"", ""Truly Yours"", ""Truly Yours 2"", ""Born Sinner"", ""Revenge Of The Dreamers"", and ""2014 Forest Hills Drive.""",31170,PB the J,92513,0,272,91,03/07/2015,J. Cole Sampler Hour (Power Hour),60,235134
darryltravis,LIL MISTA,Bronze,,,31171,DJ CHILL,65740,0,108,94,01/19/2012,Cain Muzik,19,209653
Da_ChiiNk,Trouble,Bronze,sponsored,"New mixtape from Duct Tape Ent. artist Trouble hosted by Bigga Rankin, DJ Teknikz & DJ Frank White. Follow him @TroubleDTE",31184,"Bigga Rankin, DJ Teknikz & DJ Frank White",39860,1,134,89,03/27/2012,431 Days,17,165499
DJDaneFoxx,Drake,Bronze,,,31187,Dane Foxx,103654,0,219,77,11/21/2015,Rare,29,249095
DJ Wheezy,Various Artists,Bronze,sponsored,"DJ Wheezy drops another installment of Hurry UP and Buy 3 with Exclusive Releases from Nicki Minaj, Lil Wayne, Trae the Truth, Star Murphy, Rick Ross, 2 Chainz, and More. For full mixtape: DL Link: http://www.sendspace.com/file/xs4gbe",31196,DJ Wheezy,38442,0,84,96,09/09/2012,Hurry Up And Buy 3: Exclusives,27,110762
flybeats09,Ca$his,Bronze,exclusive,New mixtape from Ca$his hosted by DJ Far,31239,DJ Far,27170,1,40,88,12/25/2012,Loose Cannon,18,173612
IAmMixtapes,Short Dawg,Bronze,exclusive,New mixtape from Young Money artist Short Dawg hosted by Coast 2 Coast mixtapes. Follow on twitter: www.twitter.com/elvisFrEsHley,31228,Coast 2 Coast,51365,1,203,97,10/31/2011,The Adventures Of Drankenstein,15,171601
Share,Snyplife,Bronze,,,31262,,162474,0,33,91,01/17/2008,Best Of Snyplife 2,29,0
flybeats09,Kur,Bronze,exclusive,"New mixtape from Philly's KUR ""How It Never Was"" Features include Meek Mill & more",31263,,146868,0,139,94,05/01/2015,How It Never Was,14,308148
flybeats09,Vado,Bronze,exclusive,"2 years after the first, another Valentine's Day drop from Vado ""V-Day EP 2"" Presented by WeTheBest Music.",31286,We The Best,65279,1,88,85,02/14/2015,V-Day Ep II,8,189750
mellinium,Mellinium,Bronze,,Strictly Fire,31304,,2471,0,2,50,02/01/2010,Pyramidgang Presents Fire Starter Volume 2,13,0
karlkani,Travis Porter,Bronze,sponsored,"New mixtape from TRAVIS PORTER "" 285"" Hosted by DJ E.Sudd & DJ X-Rated",31317,DJ E.Sudd & DJ X-Rated,141992,1,402,73,01/18/2016,285,15,272048
LilBtheBasedGod,"Lil B ""The BasedGod""",Bronze,exclusive,"COLLECT THIS EXTREMELY RARE DOUBLE DISC COLLECTABLE FROM LIL B!!!!!!! 
#RARE BASED ART! COLLECTORS AROUND THE WORLD! - Lil B",31325,Bitch Mob,33277,1,189,97,06/10/2013,100% Percent Gutta,34,154012
YB1012,Busta Rhymes,Bronze,,,31342,DJ Mami Fresh,56811,0,25,100,06/07/2008,Busta Bust Down,19,68655
djedubbb,Dom Kennedy,Bronze,,"WSGT$ We all know that Dom Kennedy has his OpM imprint and we know what it stands for, but now he wants to show us what its about. So he brings us the first volume of Young Nation, which features music from Dom himself, Jay 305, Casey Veggies, Troy Noka, Juicy J, Tyga, Polyester & and more. Follow @POLY3ST3R @DOPEITSDOM @ARCHdvs",31348,WSGT$,84086,0,195,96,10/12/2012,Dom Kennedy Presents OPM Vol. 1 Young Nation,17,236629
karlkani,Starlito,Bronze,exclusive,"New EP from Starlito ""Attention Tithes & Taxes 2"" available now!",31376,,93277,1,468,81,06/17/2017,Attention Tithes & Taxes 2,5,224548
Omizzle,Masspike Miles,Bronze,exclusive,"New project from Masspike Miles ""Skyy Miles 3""",31377,,39030,1,98,97,12/13/2013,Skky Miles 3,12,141314
theMILLIONAIRES,Millionaires,Bronze,sponsored,"THESE 2 CRAZY BITCHES FROM ORANGY COUNTY ARE ABOUT TO CAUSE A WHOLE NEW KIND OF CHAOS IN THE RAP WORLD. THIS DIRTY POP & HIP-HOP INFUSED MIXTAPE IS THE PERFECT TRACK LIST TO PARTY TOO. WITH TRACKS FEATURING SOME OF THE HOTTEST RAPPERS & BAD BITCHES, HOW CAN YOU NOT WANT TO CHECK THIS OUT?",31380,,34074,0,145,85,05/15/2012,Your Girl Does Party,16,190986
5161cjt05n,Skrillex,Bronze,,EP from Skrillex,31581,Skrillex,28294,0,95,98,06/17/2011,Skrillex - Scary Monsters And Nice Sprites Ep,9,155668
nitromix,Various Artists,Bronze,,,31593,DJ Nitro,65575,0,107,91,04/24/2008,Pillow Talk - Old School Slow Jams,18,233807
Torylanez,Tory Lanez,Bronze,sponsored,"3 new songs form Tory Lanez that didnt make the ""Memories Don'd Die"" album dropping 3/2/18.",31594,,140886,0,586,83,02/10/2018,The Bag EP,3,294694
IAmMixtapes,Fat Joe,Bronze,sponsored,"New mixtape from FAT JOE ""The Darkside 2""",31600,,52871,1,179,93,10/31/2011,The Darkside 2,10,165913
mistahduffie,Lil Wayne,Bronze,,"!!(if u want free promo to get on my next mixtape get a mixtape done hit me up at myspace.com/djchiszle)!!
the official no ceilings mixtape chopped and screwed by dj chiszle",31617,dj. chiszle,124891,0,102,80,11/23/2009,Lil Wayne No Ceilings ,21,322298
hustlehearted,Plies,Bronze,sponsored,"New mixtape from Plies ""The Goat"" available now on DatPiff!",31624,,146363,1,559,83,05/10/2019,The Goat,11,256273
Still_B4llin,Gucci Mane,Bronze,sponsored,,31620,DJ Drama,75123,1,187,94,01/23/2011,Mr. Zone 6,16,219149
flybeats09,Horseshoe G.A.N.G,Bronze,exclusive,New mixtape from Horseshoe G.A.N.G hosted by DJ Far,31625,DJ Far,25127,1,164,97,01/31/2012,Ambitions AZ A Writer,17,168277
Share,Trey Songz,Bronze,,,31627,,121109,1,177,89,01/05/2007,In My Mind,17,428658
IAmMixtapes,Dead Prez,Bronze,sponsored,New mixtape from Dead Prez & Dj Drama,31668,Dj Drama,40446,1,218,94,06/22/2010,Revolutionary But Gangsta Grillz,19,157990
KCmixtapez,Los,Bronze,,"one of the best rappers out that is barly even heard and deserves a spot in the hip hop game.
if you wanna holla at los his myspace is http://www.myspace.com/losbadboy 
want a mixtape cover from kc mixtapez like the one i made here hit us up at http://www.myspace.com/kingconceptz",31644,,41776,1,147,95,08/05/2009,Welcome To Swaggsville [VeryHot!!!],22,178167
Biggy Jiggy Mixtapes,Various Artists,Bronze,exclusive,"Follow @BiggyJiggy, new tape every 3 days!",31691,Biggy Jiggy Mixtapes,36449,0,34,88,11/30/2012,Exclusive Tunes 3D 12,28,135403
LilBtheBasedGod,"Lil B ""The BasedGod""",Bronze,exclusive,"THIS IS ONE OF THE MOST RARE MIXTAPES EVER RELEASED!! YOU MUST COLLECT! FROM THE RAWEST RAPPER ALIVE! - Lil B

http://www.facebook.com/LILBTHEBASEDGOD",31706,Lil B,42210,1,241,85,12/08/2012,Glassface ,28,222782
dejloaf,Dej Loaf,Bronze,exclusive,"Dej Loaf is back. The Detroit rapper apparently took a break from music in 2018, but returned with a brand new EP of back-to-basics bangers titled Go Dej Go, Vol. 1. While 2017 singles like �Changes� and �No Fear� and collaborative mixtape, F*ck A Friend Zone with R&B singer Jacquees seemed to signal a musical shift for the once-aggressive spitter who debuted with he chest-pounding �Try Me,� it looks like she�s back to boasting, bragging, and threatening haters with her signature Motor City swagger on this new EP, which features six songs and zero guests.",31713,Yellow World,176841,1,1256,72,12/28/2018,'Go Dej Go' Vol. 1,6,366526
IAmMixtapes,Chevy Woods,Bronze,sponsored,"Chevy Woods also known as Kev Tha Hustler drops ""Pilot Shit"" via his Heavy Hustle/Taylor Gang crew! Special appearances on the tape by Pittsburgh songstress Courtney Noelle and Trademark Da Skydiver of Jets International. Hosted by DJ Burn One. Shouts to super producers E Dan, Big Jerm, Sledgren, Ryan Tedder, Cardo, and Joshington!",31717,Dj Burn One,30503,1,119,94,09/13/2010,Pilot Shit,15,142104
Omizzle,Cap 1,Bronze,exclusive,New mixtape from Cap 1 hosted by DJ Drama & DJ Esudd,31725,DJ Drama & DJ Esudd,48031,1,120,94,03/13/2013,T.R.U. 2 It,17,178937
LilBtheBasedGod,"Lil B ""The BasedGod""",Bronze,exclusive,"COLLECT THIS PEICE OF ART - Lil B
https://www.facebook.com/LILBTHEBASEDGOD
https://twitter.com/LILBTHEBASEDGOD",31727,Lil B,45670,1,170,92,02/16/2014,Basedworld Paradise ,31,258639
Frathouse_Ent,GraMattyk,Bronze,sponsored,"GraMattyk, a founding member of Frathouse Entertainment, re-releases his second solo mixtape because of the supporters and response from the blogosphere.",31745,"Frathouse Entertainment, ViewHipHop.com",10303,0,35,100,04/25/2012,Ides Of March (Re-release),13,91185
flybeats09,AZ,Bronze,exclusive,Part 2 of Last Of A Dying Breed from AZ hosted by DJ Mr. FX (Sam Rostein),31749,DJ Mr FX of The Untouchables (Sam Rostein),52515,1,129,91,08/27/2013,Last Of A Dying Breed Pt II (L.O.D.B.2),25,193789
IAmMixtapes,Clyde Carson,Bronze,exclusive,"New mixtape from Oakland native and 'The Team' rep, Clyde Carson ""S.T.S.A. (Something To Speak About) with feature from E-40, Iamsu, Problem & more.",31752,,27749,1,119,94,11/20/2012,S.T.S.A. (Something To Speak About),10,130438
kenye73,TrePeace,Bronze,sponsored,"New EP/Mini-Album From TrePeace. Midwest Flow, Dope Production, Lyricism, And Most Important...JESUS!",31754,,10249,0,34,100,03/04/2014,Promised Tomorrow,10,40974
liljacques,Shy Glizzy,Bronze,sponsored,,31778,Dj 5150,45059,1,117,92,07/02/2012,Law,16,179925
